client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111048.mp3	Бирок эртеси УКМК ал аудиожазуунун аныктыгын ырастаган.	3	0				ky	
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111051.mp3	Жакынкы күндөрү бардыгын кабарлайбыз, — деди компаниянын өкүлү.	2	1				ky	
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111094.mp3	Бир топтору менин үйүмө жөнөдү.	2	1				ky	
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111095.mp3	Мындай бактар дайыма жер кыртышы менен кошо тигилет.	2	0				ky	
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111124.mp3	Биз ал жердеги бүркүттү бийик жерге кондурдук.	2	0				ky	
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111125.mp3	Аларды которуп койсо болот.	2	1				ky	
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111127.mp3	Жалпысынан Бишкек мэриясы шаар боюнча беш балаты орноткон.	2	1				ky	
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111170.mp3	Балкан оюнчуларынын аракеттери да голго алып келбеди.	2	1				ky	
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111174.mp3	Алардан качып кеткен мугалим кыз милицияга арыз жазган.	2	0				ky	
032641d3998b3c5f504d1a0bec728c49a77dc47f48c70be6a6fc33ff694e5e44db1ce57ed125f8a0d5d8bcc5146620c3687421ce4e1e80f223a620d7fdf6635a	common_voice_ky_26111277.mp3	Ал Алтуфьево жөнүндө болчу.	2	0				ky	
