client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
a5c3affe24a77e21e98eb8b5e1b6aeb3599e37807d4ed0194a7f0366e78493fcc4c0de9c2e041af64ce844d5b6cc8a972f41df75ba97b35f60c13eaab0f10385	common_voice_cv_20799933.mp3	Кӑранташпа ӳкерекенскер ывӑл-хӗрӗ валли киҫтӗк, сӑрӑ тупса туяннӑ.	1	0	twenties	female		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20868167.mp3	Социаллӑ учрежденисемпе те ҫавнашкалах.	1	1	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20868239.mp3	Посылкӑна йӗрлесе тӑраттӑм, вӑл Раҫҫее ҫитнӗччӗ.	1	1	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20871212.mp3	Эппин, малашнехи картинӑсенче вӗсем акцентсӑрах хутшӑнма хӑнӑхса ҫитессине шанатпӑр.	1	1	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20873301.mp3	Ҫавна пула вӑл кенгуру пек курӑнать.	1	1	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20876136.mp3	Кӑранташпа ӳкерекенскер ывӑл-хӗрӗ валли киҫтӗк, сӑрӑ тупса туяннӑ.	1	0	twenties	male		cv	
ccb17bcfa953189c38709be1cecdc2f55c68bc28ceb982aa0515835299a97436a82752225eba2e86940129f5416e3b145e364e46d7ac6643de9cf17ce162302c	common_voice_cv_20878132.mp3	Обществӑна пулӑшу ыйтса ҫыракан чылай.	1	0	fifties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20892981.mp3	Сӑнав лаптӑкӗнчи культурӑсемпе паллашӗ ҫ	1	0	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20937484.mp3	Страус фермипе, сырпа илӗртесшӗн	1	0	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20965134.mp3	Аслисене районти больницӑна ача-пӑча уйрӑмне вырттарнӑ.	1	0	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20971588.mp3	Ҫавӑншӑн халӗ хуралҫӑна хупса усрамалла тунӑ.	1	0	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_20975252.mp3	Хӑрушӑ ҫав кунсем майӗпен манӑҫнӑ.	1	1	twenties	male		cv	
29530fb9060071c535c664f94138c761937b0a593cfa4c438e201dfb4219321bfd7d6f024a6b00740f39ae2e25ef4dba3bc03c9b93f20579aba798b2bdd8af06	common_voice_cv_20982918.mp3	Шкул ачисемпе вӗренӳ учрежденийӗсене ҫитетӗп.	1	0	twenties	male		cv	
29530fb9060071c535c664f94138c761937b0a593cfa4c438e201dfb4219321bfd7d6f024a6b00740f39ae2e25ef4dba3bc03c9b93f20579aba798b2bdd8af06	common_voice_cv_21136551.mp3	Йӗлтӗрпе чупасси чун киленӗҫӗччӗ.	1	0	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_21254133.mp3	Эппин, курса тӗлӗнер ҫавна!	1	1	twenties	male		cv	
df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418	common_voice_cv_21263141.mp3	Унта кӗҫех Пӗтӗм тӗнчери турнир иртӗ.	1	0	twenties	male		cv	
