client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976410.mp3	Анатолий командирпа Дмитрий Никифоровпа юнашар вырнаҫнӑ.	2	0		male		cv	
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976411.mp3	Шӑнса пӑсӑлатӑп ҫеҫ хӑлха ыратма пуҫлать.	2	0		male		cv	
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976412.mp3	Пурнӑҫ тӗллевне ҫухатнӑскерсен куҫӗнче хӑрушӑ тунсӑх палӑрнӑ.	2	0		male		cv	
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976413.mp3	Хӗллехи вӑхӑтра алли-урине шӑнтаҫҫӗ, ӑшӑнас тесе пиҫсе каяҫҫӗ.	2	0		male		cv	
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976433.mp3	Манӑн ҫуллӑ сӑрӑсемпе ӗҫлес килетчӗ.	2	0		male		cv	
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976439.mp3	Чӑваш Енре туризм аталантармашкӑн мӗн тумалла?	2	1		male		cv	
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976441.mp3	Ҫӑва хӑш еннелле тӑсӑласси хальлӗхе паллӑ мар-ха.	2	0		male		cv	
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976442.mp3	Тӑванӗсем ӑна шыраса тупмашкӑн пулӑшу ыйтаҫҫӗ.	2	0		male		cv	
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976443.mp3	Кивӗ пӳртре пурӑнаканскерсем кӗҫех ҫӗннине, пысӑкраххине куҫнӑ.	2	0		male		cv	
ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e	common_voice_cv_22976444.mp3	Вӑл саппас батарейкӑсем ярса пама шантарчӗ.	2	0		male		cv	
