client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
66b42c6de34a811450431f06d760a8d91600abf45a03244184490d2c9b5d493c288628e8025659004f1119cf9c8639380a1e5c9d6eff144ddb791fe52463d888	common_voice_ba_25483915.mp3	Усын тешләгән үҙе	1	0	sixties	female		ba	
34bd866b98ec620143b006716f8406a0e57f73be2b8e7d44fc74490dd4b098125f2ea7961f14becd26a9f32127d1d73f6332c2f9540ee6a043033732d0fdc3d3	common_voice_ba_25489215.mp3	Ҡунаҡтар ҡайтып киткәне бирле үҙемә урын таба алмай йөрөнөм.	0	0				ba	
78708e30f1e8ff5ff71def999b1cc79185be996c654fae605c113b1f3dd1d8679b53dabe6e3914be2397a80c55fc5298d01f2d76c46fe2edd97dbb0a0765bdec	common_voice_ba_25963855.mp3	- Әлегә өйҙә үҫһендәр, аҙаҡ тышҡа сығарырбыҙ...	0	0	thirties	female		ba	
f13884720b9d351e1bfba108d3f79ff67ad46c731532139db576631dde26a9e79807f94ac8917554bed2c1d1be31817435a88f842bde9dd692a70a7276dc7c1a	common_voice_ba_30691062.mp3	Беҙҙең илдә ике бисә алыу тыйылған!	1	0	twenties	male		ba	
4a8574175d41f9a009fe639bd6122cad308b8833836adf9c47965bfb7e34c7f3e6fdb876ade7c6a47ec65c8f27c0cd115931ea6ca4f5957e202aad9c240abbb3	common_voice_ba_31302618.mp3	Ҡыҙ баланы кабинеттан сығарғас, Николайға текләп ҡараны ла:	1	1				ba	
4a8574175d41f9a009fe639bd6122cad308b8833836adf9c47965bfb7e34c7f3e6fdb876ade7c6a47ec65c8f27c0cd115931ea6ca4f5957e202aad9c240abbb3	common_voice_ba_31302634.mp3	Саҡырт!	1	0				ba	
4a8574175d41f9a009fe639bd6122cad308b8833836adf9c47965bfb7e34c7f3e6fdb876ade7c6a47ec65c8f27c0cd115931ea6ca4f5957e202aad9c240abbb3	common_voice_ba_31302636.mp3	Ҡатыны ике йыл элек үлгән.	1	1				ba	
4a8574175d41f9a009fe639bd6122cad308b8833836adf9c47965bfb7e34c7f3e6fdb876ade7c6a47ec65c8f27c0cd115931ea6ca4f5957e202aad9c240abbb3	common_voice_ba_31302667.mp3	Артынса теге бисә лә юҡ булды.	1	0				ba	
4a8574175d41f9a009fe639bd6122cad308b8833836adf9c47965bfb7e34c7f3e6fdb876ade7c6a47ec65c8f27c0cd115931ea6ca4f5957e202aad9c240abbb3	common_voice_ba_31302683.mp3	Әллә тағы ла иҫеңә төшөрәйемме.	1	0				ba	
4a8574175d41f9a009fe639bd6122cad308b8833836adf9c47965bfb7e34c7f3e6fdb876ade7c6a47ec65c8f27c0cd115931ea6ca4f5957e202aad9c240abbb3	common_voice_ba_31302708.mp3	Ат сапҡан тауыш көсәйә бара.	1	0				ba	
